aX,aY,aZ,gX,gY,gZ
-0.286,-0.922,0.346,-0.305,-2.808,2.625
-0.263,-0.949,0.375,-0.366,-2.136,2.014
-0.269,-0.955,0.359,-0.916,-3.357,2.38
-0.262,-0.957,0.358,-2.136,-2.319,3.54
-0.244,-0.953,0.368,-2.93,1.343,4.639
-0.229,-0.931,0.361,-2.686,4.15,5.066
-0.222,-0.927,0.375,-1.831,7.874,6.226
-0.222,-0.932,0.399,-1.221,10.071,6.226
-0.237,-0.94,0.449,-0.488,8.911,5.188
-0.223,-0.962,0.503,-0.793,2.075,2.502
-0.219,-0.952,0.49,-1.892,-11.78,-1.77
-0.24,-0.92,0.436,-3.54,-26.733,-5.676
-0.286,-0.87,0.351,-4.333,-34.79,-8.484
-0.314,-0.857,0.288,-3.967,-32.227,-8.118
-0.321,-0.903,0.288,-3.113,-20.508,-6.836
-0.322,-0.938,0.314,-2.319,-6.836,-7.812
-0.294,-0.927,0.351,-2.197,4.578,-9.46
-0.256,-0.883,0.394,-2.563,12.146,-10.681
-0.204,-0.855,0.417,-2.136,14.282,-10.498
-0.182,-0.847,0.434,-1.465,12.878,-7.568
-0.188,-0.852,0.446,-0.549,9.033,-3.601
-0.219,-0.857,0.435,0.061,4.15,0.244
-0.245,-0.873,0.428,0.366,0.671,4.333
-0.256,-0.914,0.433,-0.122,-1.221,7.08
-0.275,-0.934,0.419,-0.732,-3.54,6.958
-0.294,-0.938,0.396,-1.404,-5.005,4.395
-0.3,-0.94,0.375,-1.587,-4.822,0.793
-0.284,-0.944,0.376,-1.892,-2.197,-2.319
-0.266,-0.946,0.399,-2.197,0.488,-4.395
-0.246,-0.944,0.418,-3.54,0.916,-5.188
-0.231,-0.937,0.417,-5.31,-0.488,-4.944
-0.224,-0.928,0.41,-6.042,-2.258,-4.822
-0.23,-0.911,0.397,-5.554,-2.686,-5.005
-0.235,-0.898,0.398,-4.822,-1.648,-4.272
-0.241,-0.897,0.408,-3.967,-0.61,-3.418
-0.242,-0.902,0.416,-3.235,-0.732,-3.052
-0.245,-0.903,0.418,-2.747,-2.197,-3.235
-0.246,-0.901,0.415,-2.686,-4.333,-3.662
-0.252,-0.891,0.409,-2.93,-6.714,-3.845
-0.264,-0.873,0.389,-3.113,-9.338,-3.174
-0.277,-0.869,0.367,-2.869,-9.521,-1.465
-0.28,-0.882,0.362,-2.563,-7.324,-0.305
-0.275,-0.892,0.368,-1.77,-3.906,-0.427
-0.27,-0.893,0.381,-0.977,-0.366,-1.953
-0.265,-0.889,0.39,-0.366,2.441,-3.052
-0.253,-0.888,0.399,-0.366,4.944,-2.93
1.867,-0.922,-0.129,-7.996,-313.721,78.125
2.167,-0.844,-0.4,2.258,-416.626,85.51
2.444,-0.706,-0.681,28.442,-531.921,88.684
2.623,-0.708,-0.904,52.002,-648.499,92.041
2.725,-0.832,-1.137,48.95,-754.211,97.778
2.719,-0.962,-1.374,38.33,-842.773,103.577
2.468,-1.059,-1.582,41.382,-907.41,96.497
2.122,-1.021,-1.735,43.03,-950.562,81.421
1.667,-0.839,-1.789,36.987,-971.924,68.176
1.058,-0.639,-1.686,33.325,-964.783,57.495
0.458,-0.546,-1.539,32.776,-929.016,67.444
-0.114,-0.586,-1.484,28.931,-866.455,100.525
-0.592,-0.783,-1.514,21.118,-776.001,141.113
-1.022,-1.071,-1.45,18.25,-660.706,162.354
-1.277,-1.275,-1.234,19.043,-540.771,149.597
-1.296,-1.324,-0.966,22.217,-443.97,115.784
-1.217,-1.148,-0.793,26.306,-377.441,76.111
-1.232,-0.811,-0.659,24.475,-327.087,51.392
-2.33,-0.126,0.156,41.992,-287.17,63.66
-3.753,0.22,0.16,97.534,-307.617,191.589
-4.0,-0.257,-1.088,-41.26,-373.901,409.119
-3.219,-2.255,-2.775,-156.067,-349.792,478.149
